"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Registra un usuario correctamente","203","registroExitoso","Reqres API Test Suite","Tue Oct 14 02:33:07 GMT 2025","passed","Tue Oct 14 02:33:07 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","697","Lista todos los usuarios de una pagina","Reqres API Test Suite","Tue Oct 14 02:33:06 GMT 2025","passed","Tue Oct 14 02:33:07 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
"Elimina un usuario existente","2200","borrarUsuario","Reqres API Test Suite","Tue Oct 14 02:33:03 GMT 2025","passed","Tue Oct 14 02:33:05 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","383","Valida el schema del usuario por ID","Reqres API Test Suite","Tue Oct 14 02:33:08 GMT 2025","passed","Tue Oct 14 02:33:09 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"La misma petición GET /users/2 debe devolver la misma respuesta","89","GET idempotente","Reqres API Test Suite","Tue Oct 14 02:33:09 GMT 2025","passed","Tue Oct 14 02:33:09 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","221","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Tue Oct 14 02:33:08 GMT 2025","failed","Tue Oct 14 02:33:08 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Actualiza los datos de un usuario existente","209","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Tue Oct 14 02:33:06 GMT 2025","passed","Tue Oct 14 02:33:06 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","actualizarUsuario"
"Login exitoso con email y password válidos","136","loginExitoso","Reqres API Test Suite","Tue Oct 14 02:33:07 GMT 2025","passed","Tue Oct 14 02:33:07 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Registra un usuario correctamente","134","registroExitoso","Reqres API Test Suite","Tue Oct 14 02:33:07 GMT 2025","passed","Tue Oct 14 02:33:08 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Login exitoso con email y password válidos","126","loginExitoso","Reqres API Test Suite","Tue Oct 14 02:33:07 GMT 2025","passed","Tue Oct 14 02:33:07 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Falla el registro cuando falta el password","199","registroFallidoSinPassword","Reqres API Test Suite","Tue Oct 14 02:33:08 GMT 2025","passed","Tue Oct 14 02:33:08 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
"Verifica que la API devuelve los datos correctos para un usuario existente","80","Obtiene un usuario existente por ID","Reqres API Test Suite","Tue Oct 14 02:33:07 GMT 2025","passed","Tue Oct 14 02:33:07 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
"Falla esperada al intentar crear un usuario sin body","116","Falla al crear un usuario sin body","Reqres API Test Suite","Tue Oct 14 02:33:08 GMT 2025","passed","Tue Oct 14 02:33:08 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","226","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Tue Oct 14 02:33:09 GMT 2025","failed","Tue Oct 14 02:33:09 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Falla el login cuando falta el password","130","loginFallidoSinPassword","Reqres API Test Suite","Tue Oct 14 02:33:07 GMT 2025","passed","Tue Oct 14 02:33:07 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Crea un usuario nuevo con nombre y trabajo","583","crearUsuario","Reqres API Test Suite","Tue Oct 14 02:33:05 GMT 2025","passed","Tue Oct 14 02:33:06 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","crearUsuario"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","67","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Tue Oct 14 02:33:08 GMT 2025","passed","Tue Oct 14 02:33:08 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
"Valida que la API responde 404 cuando el usuario no existe","190","Usuario no encontrado","Reqres API Test Suite","Tue Oct 14 02:33:08 GMT 2025","passed","Tue Oct 14 02:33:08 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
