"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Crea un usuario nuevo con nombre y trabajo","551","crearUsuario","Reqres API Test Suite","Thu Sep 04 02:30:37 GMT 2025","passed","Thu Sep 04 02:30:38 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","crearUsuario"
"Registra un usuario correctamente","283","registroExitoso","Reqres API Test Suite","Thu Sep 04 02:30:40 GMT 2025","passed","Thu Sep 04 02:30:40 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","320","Valida el schema del usuario por ID","Reqres API Test Suite","Thu Sep 04 02:30:41 GMT 2025","passed","Thu Sep 04 02:30:42 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"Login exitoso con email y password válidos","229","loginExitoso","Reqres API Test Suite","Thu Sep 04 02:30:39 GMT 2025","passed","Thu Sep 04 02:30:39 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Falla el login cuando falta el password","234","loginFallidoSinPassword","Reqres API Test Suite","Thu Sep 04 02:30:39 GMT 2025","passed","Thu Sep 04 02:30:40 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Login exitoso con email y password válidos","239","loginExitoso","Reqres API Test Suite","Thu Sep 04 02:30:39 GMT 2025","passed","Thu Sep 04 02:30:39 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","185","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Thu Sep 04 02:30:41 GMT 2025","failed","Thu Sep 04 02:30:41 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","439","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Thu Sep 04 02:30:42 GMT 2025","failed","Thu Sep 04 02:30:42 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Verifica que la API devuelve los datos correctos para un usuario existente","104","Obtiene un usuario existente por ID","Reqres API Test Suite","Thu Sep 04 02:30:39 GMT 2025","passed","Thu Sep 04 02:30:39 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","827","Lista todos los usuarios de una pagina","Reqres API Test Suite","Thu Sep 04 02:30:38 GMT 2025","passed","Thu Sep 04 02:30:39 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
"Elimina un usuario existente","2322","borrarUsuario","Reqres API Test Suite","Thu Sep 04 02:30:35 GMT 2025","passed","Thu Sep 04 02:30:37 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
"Falla esperada al intentar crear un usuario sin body","207","Falla al crear un usuario sin body","Reqres API Test Suite","Thu Sep 04 02:30:41 GMT 2025","passed","Thu Sep 04 02:30:41 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
"Actualiza los datos de un usuario existente","227","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Thu Sep 04 02:30:38 GMT 2025","passed","Thu Sep 04 02:30:38 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","actualizarUsuario"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","103","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Thu Sep 04 02:30:41 GMT 2025","passed","Thu Sep 04 02:30:41 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
"Registra un usuario correctamente","220","registroExitoso","Reqres API Test Suite","Thu Sep 04 02:30:40 GMT 2025","passed","Thu Sep 04 02:30:40 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Valida que la API responde 404 cuando el usuario no existe","175","Usuario no encontrado","Reqres API Test Suite","Thu Sep 04 02:30:41 GMT 2025","passed","Thu Sep 04 02:30:41 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
"La misma petición GET /users/2 debe devolver la misma respuesta","148","GET idempotente","Reqres API Test Suite","Thu Sep 04 02:30:42 GMT 2025","passed","Thu Sep 04 02:30:42 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Falla el registro cuando falta el password","277","registroFallidoSinPassword","Reqres API Test Suite","Thu Sep 04 02:30:40 GMT 2025","passed","Thu Sep 04 02:30:41 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
