"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Actualiza los datos de un usuario existente","335","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Mon Oct 06 02:33:53 GMT 2025","failed","Mon Oct 06 02:33:54 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","actualizarUsuario"
"Valida que la API responde 404 cuando el usuario no existe","325","Usuario no encontrado","Reqres API Test Suite","Mon Oct 06 02:33:57 GMT 2025","failed","Mon Oct 06 02:33:57 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","187","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Mon Oct 06 02:33:56 GMT 2025","failed","Mon Oct 06 02:33:56 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Verifica que la API devuelve los datos correctos para un usuario existente","331","Obtiene un usuario existente por ID","Reqres API Test Suite","Mon Oct 06 02:33:55 GMT 2025","failed","Mon Oct 06 02:33:55 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
"Falla el login cuando falta el password","188","loginFallidoSinPassword","Reqres API Test Suite","Mon Oct 06 02:33:55 GMT 2025","passed","Mon Oct 06 02:33:56 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Registra un usuario correctamente","191","registroExitoso","Reqres API Test Suite","Mon Oct 06 02:33:56 GMT 2025","passed","Mon Oct 06 02:33:56 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","756","Lista todos los usuarios de una pagina","Reqres API Test Suite","Mon Oct 06 02:33:54 GMT 2025","passed","Mon Oct 06 02:33:55 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","192","Valida el schema del usuario por ID","Reqres API Test Suite","Mon Oct 06 02:33:57 GMT 2025","failed","Mon Oct 06 02:33:57 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"La misma petición GET /users/2 debe devolver la misma respuesta","356","GET idempotente","Reqres API Test Suite","Mon Oct 06 02:33:58 GMT 2025","failed","Mon Oct 06 02:33:58 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Falla el registro cuando falta el password","194","registroFallidoSinPassword","Reqres API Test Suite","Mon Oct 06 02:33:56 GMT 2025","passed","Mon Oct 06 02:33:56 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
"Crea un usuario nuevo con nombre y trabajo","672","crearUsuario","Reqres API Test Suite","Mon Oct 06 02:33:53 GMT 2025","failed","Mon Oct 06 02:33:53 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","crearUsuario"
"Login exitoso con email y password válidos","335","loginExitoso","Reqres API Test Suite","Mon Oct 06 02:33:55 GMT 2025","passed","Mon Oct 06 02:33:55 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Login exitoso con email y password válidos","190","loginExitoso","Reqres API Test Suite","Mon Oct 06 02:33:55 GMT 2025","passed","Mon Oct 06 02:33:55 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","345","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Mon Oct 06 02:33:57 GMT 2025","failed","Mon Oct 06 02:33:58 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Falla esperada al intentar crear un usuario sin body","179","Falla al crear un usuario sin body","Reqres API Test Suite","Mon Oct 06 02:33:56 GMT 2025","passed","Mon Oct 06 02:33:57 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","88","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Mon Oct 06 02:33:57 GMT 2025","passed","Mon Oct 06 02:33:57 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
"Elimina un usuario existente","2392","borrarUsuario","Reqres API Test Suite","Mon Oct 06 02:33:50 GMT 2025","passed","Mon Oct 06 02:33:53 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
"Registra un usuario correctamente","208","registroExitoso","Reqres API Test Suite","Mon Oct 06 02:33:56 GMT 2025","passed","Mon Oct 06 02:33:56 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
