"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que la API devuelve los datos correctos para un usuario existente","88","Obtiene un usuario existente por ID","Reqres API Test Suite","Sat Oct 11 02:29:27 GMT 2025","passed","Sat Oct 11 02:29:27 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
"La misma petición GET /users/2 debe devolver la misma respuesta","104","GET idempotente","Reqres API Test Suite","Sat Oct 11 02:29:29 GMT 2025","passed","Sat Oct 11 02:29:30 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","74","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Sat Oct 11 02:29:29 GMT 2025","passed","Sat Oct 11 02:29:29 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
"Falla el login cuando falta el password","135","loginFallidoSinPassword","Reqres API Test Suite","Sat Oct 11 02:29:27 GMT 2025","passed","Sat Oct 11 02:29:28 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","226","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Sat Oct 11 02:29:28 GMT 2025","failed","Sat Oct 11 02:29:28 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Registra un usuario correctamente","139","registroExitoso","Reqres API Test Suite","Sat Oct 11 02:29:28 GMT 2025","passed","Sat Oct 11 02:29:28 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","318","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Sat Oct 11 02:29:29 GMT 2025","failed","Sat Oct 11 02:29:29 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Elimina un usuario existente","2368","borrarUsuario","Reqres API Test Suite","Sat Oct 11 02:29:23 GMT 2025","passed","Sat Oct 11 02:29:25 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
"Falla el registro cuando falta el password","134","registroFallidoSinPassword","Reqres API Test Suite","Sat Oct 11 02:29:28 GMT 2025","passed","Sat Oct 11 02:29:28 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
"Login exitoso con email y password válidos","138","loginExitoso","Reqres API Test Suite","Sat Oct 11 02:29:27 GMT 2025","passed","Sat Oct 11 02:29:27 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Login exitoso con email y password válidos","147","loginExitoso","Reqres API Test Suite","Sat Oct 11 02:29:27 GMT 2025","passed","Sat Oct 11 02:29:27 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Crea un usuario nuevo con nombre y trabajo","432","crearUsuario","Reqres API Test Suite","Sat Oct 11 02:29:26 GMT 2025","passed","Sat Oct 11 02:29:26 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","crearUsuario"
"Valida que la API responde 404 cuando el usuario no existe","201","Usuario no encontrado","Reqres API Test Suite","Sat Oct 11 02:29:28 GMT 2025","passed","Sat Oct 11 02:29:29 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","373","Valida el schema del usuario por ID","Reqres API Test Suite","Sat Oct 11 02:29:29 GMT 2025","passed","Sat Oct 11 02:29:29 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"Actualiza los datos de un usuario existente","208","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Sat Oct 11 02:29:26 GMT 2025","passed","Sat Oct 11 02:29:26 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","actualizarUsuario"
"Registra un usuario correctamente","140","registroExitoso","Reqres API Test Suite","Sat Oct 11 02:29:28 GMT 2025","passed","Sat Oct 11 02:29:28 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Falla esperada al intentar crear un usuario sin body","213","Falla al crear un usuario sin body","Reqres API Test Suite","Sat Oct 11 02:29:28 GMT 2025","passed","Sat Oct 11 02:29:28 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","795","Lista todos los usuarios de una pagina","Reqres API Test Suite","Sat Oct 11 02:29:26 GMT 2025","passed","Sat Oct 11 02:29:27 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
