"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Registra un usuario correctamente","323","registroExitoso","Reqres API Test Suite","Wed Sep 17 02:30:44 GMT 2025","passed","Wed Sep 17 02:30:45 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Login exitoso con email y password válidos","342","loginExitoso","Reqres API Test Suite","Wed Sep 17 02:30:44 GMT 2025","passed","Wed Sep 17 02:30:44 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","374","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Wed Sep 17 02:30:45 GMT 2025","failed","Wed Sep 17 02:30:46 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","601","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Wed Sep 17 02:30:47 GMT 2025","failed","Wed Sep 17 02:30:47 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","812","Lista todos los usuarios de una pagina","Reqres API Test Suite","Wed Sep 17 02:30:43 GMT 2025","passed","Wed Sep 17 02:30:43 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
"Crea un usuario nuevo con nombre y trabajo","569","crearUsuario","Reqres API Test Suite","Wed Sep 17 02:30:42 GMT 2025","passed","Wed Sep 17 02:30:42 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","crearUsuario"
"Falla el registro cuando falta el password","311","registroFallidoSinPassword","Reqres API Test Suite","Wed Sep 17 02:30:45 GMT 2025","passed","Wed Sep 17 02:30:45 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","104","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Wed Sep 17 02:30:46 GMT 2025","passed","Wed Sep 17 02:30:46 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
"La misma petición GET /users/2 debe devolver la misma respuesta","145","GET idempotente","Reqres API Test Suite","Wed Sep 17 02:30:47 GMT 2025","passed","Wed Sep 17 02:30:47 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","426","Valida el schema del usuario por ID","Reqres API Test Suite","Wed Sep 17 02:30:46 GMT 2025","passed","Wed Sep 17 02:30:47 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"Login exitoso con email y password válidos","243","loginExitoso","Reqres API Test Suite","Wed Sep 17 02:30:43 GMT 2025","passed","Wed Sep 17 02:30:44 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Elimina un usuario existente","2613","borrarUsuario","Reqres API Test Suite","Wed Sep 17 02:30:39 GMT 2025","passed","Wed Sep 17 02:30:41 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
"Falla esperada al intentar crear un usuario sin body","256","Falla al crear un usuario sin body","Reqres API Test Suite","Wed Sep 17 02:30:46 GMT 2025","passed","Wed Sep 17 02:30:46 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
"Falla el login cuando falta el password","226","loginFallidoSinPassword","Reqres API Test Suite","Wed Sep 17 02:30:44 GMT 2025","passed","Wed Sep 17 02:30:44 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Registra un usuario correctamente","243","registroExitoso","Reqres API Test Suite","Wed Sep 17 02:30:45 GMT 2025","passed","Wed Sep 17 02:30:45 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Valida que la API responde 404 cuando el usuario no existe","355","Usuario no encontrado","Reqres API Test Suite","Wed Sep 17 02:30:46 GMT 2025","passed","Wed Sep 17 02:30:46 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
"Actualiza los datos de un usuario existente","396","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Wed Sep 17 02:30:42 GMT 2025","passed","Wed Sep 17 02:30:43 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","actualizarUsuario"
"Verifica que la API devuelve los datos correctos para un usuario existente","136","Obtiene un usuario existente por ID","Reqres API Test Suite","Wed Sep 17 02:30:43 GMT 2025","passed","Wed Sep 17 02:30:43 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
