"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Falla el login cuando falta el password","317","loginFallidoSinPassword","Reqres API Test Suite","Sun Sep 07 02:33:45 GMT 2025","passed","Sun Sep 07 02:33:46 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Registra un usuario correctamente","311","registroExitoso","Reqres API Test Suite","Sun Sep 07 02:33:46 GMT 2025","passed","Sun Sep 07 02:33:46 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","473","Valida el schema del usuario por ID","Reqres API Test Suite","Sun Sep 07 02:33:48 GMT 2025","passed","Sun Sep 07 02:33:48 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"Login exitoso con email y password válidos","312","loginExitoso","Reqres API Test Suite","Sun Sep 07 02:33:45 GMT 2025","passed","Sun Sep 07 02:33:45 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","852","Lista todos los usuarios de una pagina","Reqres API Test Suite","Sun Sep 07 02:33:44 GMT 2025","passed","Sun Sep 07 02:33:44 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
"Crea un usuario nuevo con nombre y trabajo","653","crearUsuario","Reqres API Test Suite","Sun Sep 07 02:33:43 GMT 2025","passed","Sun Sep 07 02:33:43 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","crearUsuario"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","148","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Sun Sep 07 02:33:48 GMT 2025","passed","Sun Sep 07 02:33:48 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
"Valida que la API responde 404 cuando el usuario no existe","319","Usuario no encontrado","Reqres API Test Suite","Sun Sep 07 02:33:47 GMT 2025","passed","Sun Sep 07 02:33:48 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
"Registra un usuario correctamente","327","registroExitoso","Reqres API Test Suite","Sun Sep 07 02:33:46 GMT 2025","passed","Sun Sep 07 02:33:46 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Login exitoso con email y password válidos","238","loginExitoso","Reqres API Test Suite","Sun Sep 07 02:33:45 GMT 2025","passed","Sun Sep 07 02:33:45 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Verifica que la API devuelve los datos correctos para un usuario existente","359","Obtiene un usuario existente por ID","Reqres API Test Suite","Sun Sep 07 02:33:44 GMT 2025","passed","Sun Sep 07 02:33:45 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","354","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Sun Sep 07 02:33:47 GMT 2025","failed","Sun Sep 07 02:33:47 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Actualiza los datos de un usuario existente","337","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Sun Sep 07 02:33:43 GMT 2025","passed","Sun Sep 07 02:33:44 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","actualizarUsuario"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","543","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Sun Sep 07 02:33:48 GMT 2025","failed","Sun Sep 07 02:33:49 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Falla el registro cuando falta el password","222","registroFallidoSinPassword","Reqres API Test Suite","Sun Sep 07 02:33:46 GMT 2025","passed","Sun Sep 07 02:33:47 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
"Falla esperada al intentar crear un usuario sin body","344","Falla al crear un usuario sin body","Reqres API Test Suite","Sun Sep 07 02:33:47 GMT 2025","passed","Sun Sep 07 02:33:47 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
"La misma petición GET /users/2 debe devolver la misma respuesta","231","GET idempotente","Reqres API Test Suite","Sun Sep 07 02:33:49 GMT 2025","passed","Sun Sep 07 02:33:49 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Elimina un usuario existente","2447","borrarUsuario","Reqres API Test Suite","Sun Sep 07 02:33:40 GMT 2025","passed","Sun Sep 07 02:33:42 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
