"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","81","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Tue Sep 02 02:34:53 GMT 2025","passed","Tue Sep 02 02:34:53 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","272","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Tue Sep 02 02:34:53 GMT 2025","failed","Tue Sep 02 02:34:53 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Falla el login cuando falta el password","354","loginFallidoSinPassword","Reqres API Test Suite","Tue Sep 02 02:34:51 GMT 2025","passed","Tue Sep 02 02:34:52 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","748","Lista todos los usuarios de una pagina","Reqres API Test Suite","Tue Sep 02 02:34:50 GMT 2025","passed","Tue Sep 02 02:34:51 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
"Login exitoso con email y password válidos","363","loginExitoso","Reqres API Test Suite","Tue Sep 02 02:34:51 GMT 2025","passed","Tue Sep 02 02:34:51 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Crea un usuario nuevo con nombre y trabajo","586","crearUsuario","Reqres API Test Suite","Tue Sep 02 02:34:49 GMT 2025","passed","Tue Sep 02 02:34:49 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","crearUsuario"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","397","Valida el schema del usuario por ID","Reqres API Test Suite","Tue Sep 02 02:34:53 GMT 2025","passed","Tue Sep 02 02:34:54 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"Login exitoso con email y password válidos","272","loginExitoso","Reqres API Test Suite","Tue Sep 02 02:34:51 GMT 2025","passed","Tue Sep 02 02:34:51 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Valida que la API responde 404 cuando el usuario no existe","249","Usuario no encontrado","Reqres API Test Suite","Tue Sep 02 02:34:53 GMT 2025","passed","Tue Sep 02 02:34:53 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
"Falla el registro cuando falta el password","263","registroFallidoSinPassword","Reqres API Test Suite","Tue Sep 02 02:34:52 GMT 2025","passed","Tue Sep 02 02:34:53 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
"La misma petición GET /users/2 debe devolver la misma respuesta","142","GET idempotente","Reqres API Test Suite","Tue Sep 02 02:34:54 GMT 2025","passed","Tue Sep 02 02:34:55 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Registra un usuario correctamente","327","registroExitoso","Reqres API Test Suite","Tue Sep 02 02:34:52 GMT 2025","passed","Tue Sep 02 02:34:52 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Actualiza los datos de un usuario existente","367","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Tue Sep 02 02:34:49 GMT 2025","passed","Tue Sep 02 02:34:50 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","actualizarUsuario"
"Registra un usuario correctamente","285","registroExitoso","Reqres API Test Suite","Tue Sep 02 02:34:52 GMT 2025","passed","Tue Sep 02 02:34:52 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","601","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Tue Sep 02 02:34:54 GMT 2025","failed","Tue Sep 02 02:34:54 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Elimina un usuario existente","2319","borrarUsuario","Reqres API Test Suite","Tue Sep 02 02:34:46 GMT 2025","passed","Tue Sep 02 02:34:49 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
"Verifica que la API devuelve los datos correctos para un usuario existente","118","Obtiene un usuario existente por ID","Reqres API Test Suite","Tue Sep 02 02:34:51 GMT 2025","passed","Tue Sep 02 02:34:51 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
"Falla esperada al intentar crear un usuario sin body","199","Falla al crear un usuario sin body","Reqres API Test Suite","Tue Sep 02 02:34:53 GMT 2025","passed","Tue Sep 02 02:34:53 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
