"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Falla el registro cuando falta el password","184","registroFallidoSinPassword","Reqres API Test Suite","Sat Oct 04 02:28:11 GMT 2025","passed","Sat Oct 04 02:28:11 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroFallidoSinPassword"
"Login exitoso con email y password válidos","318","loginExitoso","Reqres API Test Suite","Sat Oct 04 02:28:10 GMT 2025","passed","Sat Oct 04 02:28:10 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Login exitoso con email y password válidos","199","loginExitoso","Reqres API Test Suite","Sat Oct 04 02:28:10 GMT 2025","passed","Sat Oct 04 02:28:10 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginExitoso"
"Valida que la respuesta del endpoint GET /users/2 cumpla con el esquema JSON definido","341","Valida el schema del usuario por ID","Reqres API Test Suite","Sat Oct 04 02:28:12 GMT 2025","failed","Sat Oct 04 02:28:12 GMT 2025","apitests.SchemaValidationTest","Validacion de Esquemas","apitests.SchemaValidationTest","validarSchemaUsuarioPorId"
"Repetir DELETE /users/2 debe responder con status code 404 en la segunda vez","361","DELETE /users/{id} debería ser idempotente","Reqres API Test Suite","Sat Oct 04 02:28:12 GMT 2025","failed","Sat Oct 04 02:28:13 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","deleteUsuarioEsIdempotente"
"Valida que la API responde 404 cuando el usuario no existe","304","Usuario no encontrado","Reqres API Test Suite","Sat Oct 04 02:28:12 GMT 2025","failed","Sat Oct 04 02:28:12 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","usuarioNoEncontrado"
"Verifica que el endpoint GET /users?page=2 responde con una lista de usuarios","787","Lista todos los usuarios de una pagina","Reqres API Test Suite","Sat Oct 04 02:28:09 GMT 2025","passed","Sat Oct 04 02:28:09 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","listarUsuariosPaginaDos"
"Actualiza los datos de un usuario existente","328","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Sat Oct 04 02:28:08 GMT 2025","failed","Sat Oct 04 02:28:09 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","actualizarUsuario"
"La misma petición GET /users/2 debe devolver la misma respuesta","98","GET idempotente","Reqres API Test Suite","Sat Oct 04 02:28:13 GMT 2025","passed","Sat Oct 04 02:28:13 GMT 2025","apitests.IdempotencyTest","Pruebas Idempotencia","apitests.IdempotencyTest","getUsuarioEsIdempotente"
"Falla esperada al intentar crear un usuario sin body","167","Falla al crear un usuario sin body","Reqres API Test Suite","Sat Oct 04 02:28:11 GMT 2025","passed","Sat Oct 04 02:28:12 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","crearUsuarioSinBody"
"Falla el login cuando falta el password","187","loginFallidoSinPassword","Reqres API Test Suite","Sat Oct 04 02:28:10 GMT 2025","passed","Sat Oct 04 02:28:10 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","loginFallidoSinPassword"
"Registra un usuario correctamente","193","registroExitoso","Reqres API Test Suite","Sat Oct 04 02:28:10 GMT 2025","passed","Sat Oct 04 02:28:11 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Verifica que el endpoint GET /users?page=2 responda en menos de 2 segundos","89","Verifica que la respuesta sea menor a 2 segundos","Reqres API Test Suite","Sat Oct 04 02:28:12 GMT 2025","passed","Sat Oct 04 02:28:12 GMT 2025","apitests.PerformanceTest","Pruebas de Performance","apitests.PerformanceTest","respuestaRapida"
"Elimina un usuario existente","2365","borrarUsuario","Reqres API Test Suite","Sat Oct 04 02:28:05 GMT 2025","passed","Sat Oct 04 02:28:08 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","borrarUsuario"
"Registra un usuario correctamente","322","registroExitoso","Reqres API Test Suite","Sat Oct 04 02:28:11 GMT 2025","passed","Sat Oct 04 02:28:11 GMT 2025","apitests.AuthTest","Pruebas Auth","apitests.AuthTest","registroExitoso"
"Falla esperada al actualizar un usuario usando campos no válidos o mal nombrados","305","Falla al actualizar un usuario con campos inválidos","Reqres API Test Suite","Sat Oct 04 02:28:11 GMT 2025","failed","Sat Oct 04 02:28:11 GMT 2025","apitests.NegativasTest","Pruebas Negativas","apitests.NegativasTest","actualizarUsuarioCamposInvalidos"
"Verifica que la API devuelve los datos correctos para un usuario existente","83","Obtiene un usuario existente por ID","Reqres API Test Suite","Sat Oct 04 02:28:10 GMT 2025","failed","Sat Oct 04 02:28:10 GMT 2025","apitests.UserRetrievalTest","Pruebas Positivas","apitests.UserRetrievalTest","obtenerUsuarioExistente"
"Crea un usuario nuevo con nombre y trabajo","509","crearUsuario","Reqres API Test Suite","Sat Oct 04 02:28:08 GMT 2025","failed","Sat Oct 04 02:28:08 GMT 2025","apitests.APITest","Pruebas Positivas","apitests.APITest","crearUsuario"
